sdg_id,title,short_description,long_description,sdg_codes,initials
khm2_0011,Dispatch of Volunteers_IT_Union School of Technology,DISPATCH OF VOLUNTEERS_IT_UNION SCHOOL OF TECHNOLOGY,Providing the receipient countries and organizations with IT learning courses and other IT-related volunteering activities to meet the demand in sharing their IT knowledge and skills,,
khm2_0012,Dispatch of Volunteers_Youth_Angkor University,DISPATCH OF VOLUNTEERS_YOUTH_ANGKOR UNIVERSITY,"Educational activities : Korean, English, Science, Physical education, Music Service : Visit the Orphanage, Visit the Drugs youth center Cultural Exchange : Culture Performance",,
khm2_0013,"Dispatch of Volunteers_Youth_Angkor University, Tteurei Elementary Schoo","DISPATCH OF VOLUNTEERS_YOUTH_ANGKOR UNIVERSITY, TTEUREI ELEMENTARY SCHOO","Educational activities : Korean, The fine arts, Physical education, Health, Korea Culture, k-pop, The traditional game Service : Cleaning Cultural Exchange : Culture Performance",,
khm2_0014,Dispatch of Volunteers_Youth_World Footprint,DISPATCH OF VOLUNTEERS_YOUTH_WORLD FOOTPRINT,"1) Education service : hygiene, art, music, and P.E, science class 2) Effort service : repairing class and facilities, making mushroom farm 3) Cultural exchange : bazaar, playing traditional games",,
khm2_0015,Dispatch of Volunteers_Youth_Takeo Adventist School,DISPATCH OF VOLUNTEERS_YOUTH_TAKEO ADVENTIST SCHOOL,"1) Education service : Tae Kwon Do, English, Science experiment class 2) Effort service : building, rice planting 3) Cultural exchange : K-Pop, traditional play 4) Medical service : basic hygiene education, local medical support",,
khm2_0016,HIV/AIDS - Assistance for HIV/AIDS,HIV/AIDS - ASSISTANCE FOR HIV/AIDS,"PEPFAR: Reduce the transmission and impact of HIV/AIDS through support for prevention, care and treatment programs. - Assistance for HIV/AIDS",,
khm2_0017,Social Fund II Project,SOCIAL FUND II PROJECT,Social Fund II Project,,
khm2_0018,Dispatch of Volunteers_Youth_Hosanna Children School,DISPATCH OF VOLUNTEERS_YOUTH_HOSANNA CHILDREN SCHOOL,"1) Education service : IT education, health care, art, Korean language 2) Effort service : classroom painting, repairing materials 3) Other service : sports day, tutors after school",,
khm2_0019,CrÃˆdit global pour petites actions,CRâ€_DIT GLOBAL POUR PETITES ACTIONS,CrÃˆdit global pour petites actions,,
khm2_0020,Dispatch of Volunteers_Youth_Cambodia Hosanna School,DISPATCH OF VOLUNTEERS_YOUTH_CAMBODIA HOSANNA SCHOOL,"1) Education service : science, cultural education 2) Effort service : painting wall",,
khm2_0021,Working Together for Poverty Eradication / Travailler ensemble pour Ãˆliminer la pauvretÃˆ,WORKING TOGETHER FOR POVERTY ERADICATION / TRAVAILLER ENSEMBLE POUR â€_LIMINER LA PAUVRETâ€_,"This project aims at reducing the poverty of 3,46 million people from marginalised people covered by the program within seven target countries (Afghanistan, Democratic Republic of the Congo, Colombia, Haiti, Indonesia, Cambodia and Philippines), particularly women, through initiatives that increase household incomes and improve democratic governance within the target communities, and that also increase citizen participation in local development issues within target populations.   The project aims to generate revenues, improve livelihoods and food security, as well as strengthen local partners' capacity to act on decisions that affect their communities, and networks that help share their knowledge.   Project activities include: 1) support to groups of citizens and other organizations involved in the program, to increase their political influence and ensure the proper implementation of socioeconomic activities, as well as the participation in democratic governance processes; 2) provide training to increase marginalised people's skills, particularly women, to implement income generating activities; 3) facilitate target populations' access to microfinance and savings; and 4) promote environmentally sustainable agricultural practices. / Ce projet a pour but de rÃˆduire la pauvretÃˆ de 3,46 million de personnes faisant partie des populations marginalisÃˆes desservies par ce programme, principalement des femmes, â€¡ travers des initiatives permettant une augmentation des revenus des mÃˆnages et â€¡ travers l'amÃˆlioration de la gouvernance dÃˆmocratique au sein des collectivitÃˆs visÃˆes, notamment par une participation citoyenne accrue de ces populations sur les enjeux de dÃˆveloppement local.   Le projet vise â€¡ gÃˆnÃˆrer des revenus, des moyens de subsistance amÃˆliorÃˆs et une sÃˆcuritÃˆ alimentaire ainsi que le renforcement des aptitudes des partenaires locaux sur les dÃˆcisions affectant leurs collectivitÃˆs, et le rÃˆseau qui leur permet de partager leurs connaissances.   Parmi les activitÃˆs du projet: 1) Appui aux regroupements de citoyens et autres organisations impliquÃˆes dans le programme pour un accroissement de leur influence politique pour le bon dÃˆroulement de leurs activitÃˆs socioÃˆconomiques et une participation aux processus de gouvernance dÃˆmocratique; 2) Organisation de formations ayant pour but un accroissement des compÃˆtences des populations marginalisÃˆes, notamment des femmes, dans la mise en oeuvre d'activitÃˆs gÃˆnÃˆrant des revenus; 3) Facilitation de l'accÃ‹s des populations visÃˆes au micro-financement et â€¡ l'Ãˆpargne; 4) promotion de pratiques agricoles Ãˆcologiquement durables.",,
khm2_0022,Output 02: Family Planning,FAMILY PLANNING,"Cambodia - Phnom-Penh. Output 2: Increased national capacity to strengthen enabling environments, increase demand for and supply of modern contraceptives and improve quality family planning services that are free of coercion, discrimination and violence",,
khm2_0023,Output 03: Maternal Health,MATERNAL HEALTH,Cambodia - Phnom-Penh. Output 3: Increased national capacity to deliver comprehensive maternal health services,,
khm2_0024,Fisheries and Marine Institute of Memorial University of Nfld - IYIP Internships 2015-2017 / Fisheries and Marine Institute of Memorial University de,FISHERIES AND MARINE INSTITUTE OF MEMORIAL UNIVERSITY OF NFLD - IYIP INTERNSHIPS 2015-2017 / FISHERIES AND MARINE INSTITUTE OF MEMORIAL UNIVERSITY DE,"This project is part of the Department of Foreign Affairs, Trade and Development (DFATD) International Youth Internship Program (IYIP), funded by the Government of Canada's Youth Employment Strategy (YES). The IYIP contributes to the YES by providing a large spectrum of Canadian graduates with valuable international development work experience abroad, needed to launch successful careers.   Fisheries and Marine Institute of Memorial University of Newfoundland provides 40 Canadians interns with internships in five countries: Cambodia, Vietnam, Philippines, South Africa and Malawi. The overall focus of the internships is on sustainable environment stewardship. Internships have specific focus on increasing food security, stimulating sustainable economic growth and securing the future of children and youth. Other areas of focus are promoting good governance through public sector institutions; supporting private sector development by creating an enabling environment and promoting entrepreneurship; improving health outcomes by improving food security and education. / Ce projet fait partie du Programme de stages pour les jeunes (PSIJ) du MinistÃ‹re des Affaires ÃˆtrangÃ‹res, Commerce et DÃˆveloppement (MAECD), financÃˆ par la StratÃˆgie emploi jeunesse (SEJ) du gouvernement du Canada, sous le volet Objectif carriÃ‹re. Le PSIJ vise â€¡ offrir aux jeunes Canadiens titulaires d'un diplÃ™me postsecondaire la possibilitÃˆ d'acquÃˆrir une expÃˆrience professionnelle en participant au dÃˆveloppement international, nÃˆcessaire pour amorcer une carriÃ‹re rÃˆussie.   Fisheries and Marine Institute of Memorial University de Terre-Neuve permet â€¡ 40 stagiaires canadiens d'intervenir dans cinq pays, soit au Cambodge, au Vietnam, aux Philippines, en Afrique du Sud et au Malawi. L'ensemble des stages vise la rÃˆgie de l'environnement de maniÃ‹re durable. Les stages ont pour objectifs spÃˆcifiques la sÃˆcuritÃˆ alimentaire, la stimulation de la croissance Ãˆconomique durable et l'assurance de l'avenir des enfants et des jeunes. Les autres domaines de concentration sont la promotion de la bonne gouvernance par l'entremise des institutions du secteur public; l'appui â€¡ la croissance du secteur privÃˆ en crÃˆant un environnement favorable et en favorisant l'entrepreneuriat; et l'amÃˆlioration des rÃˆsultats en matiÃ‹re de santÃˆ en renforÃÅant la sÃˆcuritÃˆ alimentaire et l'Ãˆducation.",,
khm2_0025,Personnel (Cross-cutting),PERSONNEL (CROSS-CUTTING),Personnel (Cross-cutting),,
khm2_0026,Agricultural Sector Productivity,AGRICULTURAL SECTOR PRODUCTIVITY,"Sustain the productivity of the agricultural sector through investments that foster increasing returns to land, labor, and capital. Targeted interventions to male and female producers provide improvements in technology and management practices, expanded access to markets and credit, increased organizational and market efficiency, and restoration and protection of resiliency in production and livelihood systems.",,
khm2_0027,Cambodia: Flood Emergency Rehabilitation Project,CAMBODIA: FLOOD EMERGENCY REHABILITATION PROJECT,NA,,
khm2_0028,Dispatch of Volunteers_IT_Cambodian Senate,DISPATCH OF VOLUNTEERS_IT_CAMBODIAN SENATE,Providing the receipient countries and organizations with IT learning courses and other IT-related volunteering activities to meet the demand in sharing their IT knowledge and skills,,
khm2_0029,Dispatch of Volunteers_KOICA_Hun Sen Krong Tep Nimeth High School,DISPATCH OF VOLUNTEERS_KOICA_HUN SEN KRONG TEP NIMETH HIGH SCHOOL,"Teaching computer theories, their practical applications and the method of using related programs and providing hands-on training in the areas of hardware, software, courseware and Internet",,
khm2_0030,Mainstreaming Climate Resilience into Development Planning,MAINSTREAMING CLIMATE RESILIENCE INTO DEVELOPMENT PLANNING,"Cambodia is one of the countries selected worldwide for the Pilot Program for Climate Resilience (PPCR), which aims to demonstrate ways in integrating climate risk and resilience into development planning. With support from ADB and the World Bank Group, the Government of Cambodia (the Government) prepared the Strategic Program for Climate Resilience (SPCR), comprising seven investment projects and the proposed technical assistance (TA). The resource envelope for SPCR is $385 million including $86 million from PPCR and $299 million in co-financing from ADB and other development partners. The PPCR sub-committee endorsed SPCR in June 2011. The TA will promote synergies between CCA and disatser risk reduction, sets up a common framework for monitoring and evaluation of all SPCR projects, and develops a knowledge and communications plan for each component that will be critical to sustaining the impact and effectiveness of current and future climate resilience investments. The TA will (i) strengthen capacity to coordinate all SPCR investments and to mainstream adaptation concerns into national and sub-national planning, budgeting and development in Cambodia; (ii) conduct feasibility studies for priority projects of the National Adaptation Program of Action (NAPA) with a view to secure additional funds from sources such as Adaptation Fund and Green Climate Fund; (iii) establish a civil society support mechanism to fund community-based adaptation activities and strengthen capacity of civil society organizations (CSOs) and nongovernmental organizations (NGOs) to mainstream climate resilience into their operations; and (iv) generate and disseminate knowledge for climate change adaptation (CCA) in various sectors. The expected impact of the TA is enhanced resilience to climate change in Cambodia leading to improved livelihoods, especially for vulnerable groups including women and children. By 2022, the number of households affected and economic losses resulting from extreme climate events will be reduced by 20% from the 2012 baseline. The expected outcome of the TA is sustained institutional and technical capacity to integrate adaptation concerns into development. By 2018, agreed strategies on adaptation will be integrated into at least three sectors. Also, at least 25% of projects in water resources, agriculture, transport, water supply and sanitation will be climate-proofed. By the TA end, it is expected that (i) risk screening tools are applied for projects in irrigation, flood prevention, agriculture, biodiversity, roads, water supply and sanitation, and urban development; and (ii) vulnerability assessments incorporating climate information are performed for projects determined at risk in key sectors.The TA is expected to deliver four outputs:1. SPCR coordination, technical support and capacity strengthened to mainstream climate change adaptation into development planning 2. Detailed feasibility studies conducted for selected NAPA priority projects to o",,
khm2_0031,MAINSTREAMING CLIMATE RESILIENCE INTO DEVELOPMENT PLANNING,MAINSTREAMING CLIMATE RESILIENCE INTO DEVELOPMENT PLANNING,MAINSTREAMING CLIMATE RESILIENCE INTO DEVELOPMENT PLANNING,,
khm2_0032,MAINSTREAMING CLIMATE RESILIENCE INTO DEVELOPMENT PLANNING,MAINSTREAMING CLIMATE RESILIENCE INTO DEVELOPMENT PLANNING,NA,,
khm2_0033,Output 01: SRH Services,SRH SERVICES,Cambodia - Phnom-Penh. Output 1: Increased national capacity to deliver integrated sexual and reproductive health services,,
khm2_0034,Basic Education Project,BASIC EDUCATION PROJECT,NA,,
khm2_0035,Biodiversity and Protected Areas Management Project,BIODIVERSITY AND PROTECTED AREAS MANAGEMENT PROJECT,NA,,
khm2_0036,COMMUNITY DEMAND FOR ECD,COMMUNITY DEMAND FOR ECD,COMMUNITY DEMAND FOR ECD,,
khm2_0037,Greater Mekong Subregion Southern Economic Corridor Towns Development Project,GREATER MEKONG SUBREGION SOUTHERN ECONOMIC CORRIDOR TOWNS DEVELOPMENT PROJECT,"The project will enhance the competitiveness of towns along the Southern Economic Corridor (SEC). The project will transform the corridor towns of Battambang, Bavet, Neak Loeung, and Poipet in Cambodia into economic hubs by improving urban-environmental infrastructure and strengthening institutional capacities of provincial and local authorities. The productivity of economic enterprises in these towns will be significantly improved since there will be increased climate resilience through flood control measures. The environment will be improved through clean wastewater, disposal of solid waste, and enhanced mobility on improved urban roads. The project will provide environmental infrastructure for wastewater treatment and solid waste management, which will, among others, help to reduce the carbon footprint of these towns, making them cleaner and greener, and more livable. The project will finance 10 subprojects in these towns.",,
khm2_0038,HIV/AIDS,HIV/AIDS,"Reduce the transmission and impact of HIV/AIDS through support for prevention, care and treatment programs.",,
khm2_0039,Municipal Partners for Economic Development / Partenariats municipaux pour le dÃˆveloppement Ãˆconomique,MUNICIPAL PARTNERS FOR ECONOMIC DEVELOPMENT / PARTENARIATS MUNICIPAUX POUR LE Dâ€_VELOPPEMENT â€_CONOMIQUE,"The Federation of Canadian Municipalities' (FCM) project aims to enhance sustainable and equitable economic growth in selected developing countries in Africa, Asia and the Americas. Its specific purpose is to support local governments and local government associations (LGAs) in these countries to enable them to provide more effective services that advance sustainable and equitable local economic development.    The FCM co-manages the project with the seven national LGAs. Technical assistance is provided to LGAs to increase their capacity for policy development and political representation, so that national legislation, regulations and policies are supportive of an increased local government role in economic development. As well, technical assistance supports their efforts to establish training and knowledge-sharing programs on sustainable and equitable economic development.    The project concentrates on key areas important to local governments' ability to provide an efficient and attractive operating environment for both large and small-scale businesses. Up to 15 demonstration projects are undertaken in selected local governments of the seven target countries. Up to three local governments are involved in each demonstration project for a total of up to 45 local governments directly benefitting from the program. These projects focus on: (a) local economic governance, including political leadership (men, women and youth leaders), business development advocacy, local economic development planning, and business and community engagement; (b) municipal services to businesses; and (c) revenue generation, and access to financing. The demonstration projects aim to create positive changes in the local governments involved. They also help the LGAs to exemplify or advocate for policy and legislative changes, and to provide examples of best practices to be disseminated to other local governments in the country and the region.    The delivery of technical assistance to local municipalities by volunteer Canadian municipal practitioners is at the core of this FCM project. / Le projet de la FÃˆdÃˆration canadienne des municipalitÃˆs (FCM) vise â€¡ renforcer le dÃˆveloppement Ãˆconomique durable et Ãˆquitable dans des pays sÃˆlectionnÃˆs d'Afrique, d'Asie et des AmÃˆriques. Son objectif est de soutenir les gouvernements locaux et les associations gouvernementales locales (AGL) de ces pays pour les aider â€¡ fournir des services plus efficaces qui favorisent la croissance Ãˆconomique locale durable et Ãˆquitable.    La FCM administre le projet en collaboration avec sept AGL. Ces associations recevoivent une assistance technique dans le but d'augmenter leur capacitÃˆ pour dÃˆvelopper des politiques et la reprÃˆsentation politique pour que les mesures lÃˆgislatives, les rÃ‹glementations et les politiques nationales soutiennent l'augmentation du rÃ™le du gouvernement local en matiÃ‹re de dÃˆveloppement Ãˆconomique. L'assistance technique appuie Ãˆgalement les efforts des AGL â€¡ Ãˆtablir des pr",,
khm2_0040,Northeast Village Development Project,NORTHEAST VILLAGE DEVELOPMENT PROJECT,"Poverty reduction is the central objective within the strategic context, and specific goals of the Country Assistance Strategy (CAS) are supported by the Northeast Village Development Project, such as rural development and natural resource management enhancement, human resources and poverty reduction improvement, and, institutional capacity strengthening. The two main components of the project consist of: 1) participatory planning and investment, which will include those investment activities based on, and supported by, the development of participatory planning systems. Beginning at the village level, with the creation of the Village Development Committees (VDC), different local government levels will progressively be reached, in a process defined as the Local Development Process (LDP). Through this process the project will finance the costs of participatory rural appraisals, selected on the basis set by the implementation guide criteria. Furthermore, the LDP will assist VDCs in determining the community's development priorities; and, 2) institutional strengthening and project management, i.e., the project will provide resources, both at the provincial and district/commune/village levels, to carry out the establishment of an information systems management; conduct participatory evaluation studies of project performance and impact; review subproject design and construction supervision; and, provide training as needed.",,
khm2_0041,Program Design and Learning - Program Design and Learning,PROGRAM DESIGN AND LEARNING - PROGRAM DESIGN AND LEARNING,"Program Design and Learning - Develop and conduct needs assessments, baseline studies, targeted evaluations, special studies or other information-gathering efforts specifically for the design, monitoring and evaluation of USG-funded operating unit wide programs, not for a specific functional objective. This sub-element may also include developing and disseminating best practices and lessons learned, testing demonstration and/or pilot models, public outreach, or the preparation of strategic plans and other short-term programming tasks. Funding for similar activities that are directed to specific functional objectives should be entered in the PD&L sub-element of the appropriate program area(s) within that objective.",,
khm2_0042,Saving Children's Lives by Addressing MNCH Gaps / Sauver la vie des enfants en abordant les Ãˆcarts de la SMNE,SAVING CHILDREN'S LIVES BY ADDRESSING MNCH GAPS / SAUVER LA VIE DES ENFANTS EN ABORDANT LES â€_CARTS DE LA SMNE,"The project aims to reduce child mortality in targeted regions benefitting an estimated 452,345 women and 3,740,379 children. Substantial progress has been made in achieving the Millennium Development Goals to reduce child mortality and improve maternal health. However, this progress often conceals widening disparities in given countries or regions. This project aims to address health disparities and gaps in maternal, newborn and child health (MNCH), by prioritizing interventions identified as critical to advancing progress in reducing child mortality.   Project activities include: (1) conduct and analyse research on health needs and solutions for mothers and children; (2) review and enhance existing policies and guidelines to improve MNCH; (3) develop and provide training on gender responsive MNCH interventions, on civil registration and vital statistics systems, and on health information management system; (4) test and implement models to address gaps in MNCH; (5) develop and deliver community awareness campaigns to increase knowledge on MNCH interventions; and (6) procure and distribute critical health supplies.   This project is part of Canada's commitment for Maternal, Newborn and Child Health. / Ce projet vise â€¡ rÃˆduire la mortalitÃˆ infantile dans les rÃˆgions ciblÃˆes et â€¡ venir en aide â€¡ quelque 452 345 femmes et 3 740 379 enfants. Des progrÃ‹s importants ont ÃˆtÃˆ accomplis en vue d'atteindre l'Objectif du MillÃˆnaire pour le dÃˆveloppement relatif â€¡ la rÃˆduction de la mortalitÃˆ chez les enfants et â€¡ l'amÃˆlioration de la santÃˆ maternelle. Toutefois, ces progrÃ‹s dissimulent souvent le fait qu'il existe des inÃˆgalitÃˆs grandissantes dans certains pays ou certaines rÃˆgions. Ce projet a pour objectif de corriger les inÃˆgalitÃˆs et les Ãˆcarts en matiÃ‹re de santÃˆ des mÃ‹res, des nouveau-nÃˆs et des enfants (SMNE) en donnant la prioritÃˆ aux interventions considÃˆrÃˆes comme essentielles pour accÃˆlÃˆrer les progrÃ‹s en vue de rÃˆduire la mortalitÃˆ infantile.   Parmi les activitÃˆs du projet : 1) effectuer des recherches afin d'Ãˆtudier les besoins des mÃ‹res et des enfants en matiÃ‹re de santÃˆ et de trouver des solutions pour y rÃˆpondre; 2) examiner et parfaire les politiques et les lignes directrices existantes pour amÃˆliorer la SMNE; 3) Ãˆlaborer et offrir de la formation sur les interventions axÃˆes sur l'ÃˆgalitÃˆ entre les sexes en matiÃ‹re de SMNE, sur les systÃ‹mes d'Ãˆtablissement des statistiques de l'Ãˆtat civil et d'enregistrement des faits d'Ãˆtat civil et sur les systÃ‹mes de gestion de l'information sur la santÃˆ; 4) mettre â€¡ l'essai et mettre en place des modÃ‹les visant â€¡ combler les Ãˆcarts en SMNE; 5) Ãˆlaborer et rÃˆaliser des campagnes de sensibilisation communautaire afin de mieux faire connaitre les interventions en SMNE; 6) obtenir et distribuer des fournitures de santÃˆ essentielles. Ce projet s'inscrit dans l'engagement pris par le Canada â€¡ l'Ãˆgard de la santÃˆ des mÃ‹res, des nouveau-nÃˆs et des enfants.",,
khm2_0043,Smallholder Agriculture and Social Protection Support Operation,SMALLHOLDER AGRICULTURE AND SOCIAL PROTECTION SUPPORT OPERATION,NA,,
khm2_0044,Social Fund Project,SOCIAL FUND PROJECT,"The Social Fund Project will support the Government to reduce poverty through: (a) financing small-scale projects for the rehabilitation and reconstruction of social and economic infrastructure, and other socially productive activities; (b) creating short-term employment opportunities; (c) expanding community opportunities to identify local development needs and manage small-scale development projects; and (d) increasing line ministry experience and capacity in developing investment criteria for local infrastructure construction.",,
khm2_0045,Structural Adjustment Credit Project,STRUCTURAL ADJUSTMENT CREDIT PROJECT,NA,,
khm2_0046,Tonle Sap Lowlands Rural Development Project,TONLE SAP LOWLANDS RURAL DEVELOPMENT PROJECT,The Project will support community mobilization for formulation of development plans and implementation of small scale infrastructure to enhance rural incomes and thereby relieve pressures on the natural resource base of the Tonle Sap Basin. It will increase options for people to develop the necessary skills and to access additional financial resources to enable pursuit of new livelihood activities. The Project consists of three components: (i) improve rural infrastructure - (a) improvement and development of social infrastructure; (b) improvement of agricultural water management infrastructure; and (c) improvement of rural roads and communication infrastructure; (ii) increase livelihood options for rural communities - financial services and technical services; and (iii) project management.,,
khm2_0047,Output 07: Sexuality education,SEXUALITY EDUCATION,Cambodia - Phnom-Penh. Output 7: Increased national capacity to design and implement community and school based comprehensive sexuality education (CSE) programmes that promote human rights and gender equality,,
khm2_0048,OXFAM-QuÃˆbec - Volunteer Sending 2009-2015 / OXFAM-QuÃˆbec - Envoi de volontaires 2009-2015,OXFAM-QUâ€_BEC - VOLUNTEER SENDING 2009-2015 / OXFAM-QUâ€_BEC - ENVOI DE VOLONTAIRES 2009-2015,"This volunteer sending program is designed to send 636 volunteers to 13 developing countries. It aims to: (1) enable partners to provide women and men with the capacity to exercise their economic rights and to reduce their vulnerability to change; (2) enable civil society to establish effective dialogues with the government to identify policies and strategies that benefit vulnerable populations regarding the issues linked to essential health, education and drinking water services; (3) enable partners to strengthen women s leadership and increase their capacity to influence, to identify strategies that eliminate all forms of violence and discrimination towards them, to ensure the defence and the promotion of their rights, and to involve men in this regard; and (4) enable partners to better defend youth issues in local policies, to promote access to essential education and health services for youth, and make youth stakeholders in society.   As of the final year of the program, in April 2014, programming will extend to Colombia and Mali in the form of a regional approach.   An amount of $80,622 has been added to the total amount for each of the Volunteer Cooperation Agency programs for CIDA-led program evaluations. / Ce programme d envoi de volontaires permet l envoi de 636 volontaires dans 13 pays en voie de dÃˆveloppement. Il vise â€¡ : 1) habiliter les partenaires afin de donner aux femmes et aux hommes les capacitÃˆs d exercer leurs droits Ãˆconomiques et â€¡ rÃˆduire leur vulnÃˆrabilitÃˆ face aux changements ; 2) habiliter la sociÃˆtÃˆ civile afin qu elle soit en mesure d Ãˆtablir un dialogue efficace avec le gouvernement afin d identifier des politiques et stratÃˆgies en faveur des populations vulnÃˆrables sur les questions touchant les services essentiels en matiÃ‹re de santÃˆ, d Ãˆducation et d eau potable ; 3) habiliter les partenaires afin de renforcer le leadership des femmes et d accroÃ“tre leur capacitÃˆ d influence, d identifier des stratÃˆgies pour Ãˆliminer toute forme de violence et de discrimination â€¡ leur Ãˆgard, d assurer la dÃˆfense et la promotion de leurs droits et d impliquer les hommes dans cette dÃˆmarche ; et 4) habiliter les partenaires afin qu ils soient en mesure de mieux dÃˆfendre la position des jeunes face aux politiques locales, de favoriser l accÃ‹s des jeunes â€¡ des services essentiels d Ãˆducation et de santÃˆ et d en faire des acteurs de la sociÃˆtÃˆ.   Lors de la derniÃ‹re annÃˆe du programme, â€¡ compter d avril 2014, la Colombie et le Mali feront leur entrÃˆe dans la programmation dans une approche rÃˆgionale.   Un montant de 80 622 $ a ÃˆtÃˆ ajoutÃˆ au montant total pour chaque programme des organisations de coopÃˆration volontaire pour les Ãˆvaluations de programmes menÃˆes par l ACDI.",,
khm2_0049,"Agricultural Services Prograrmme for Innovation, Resilience and Extension","AGRICULTURAL SERVICES PROGRARMME FOR INNOVATION, RESILIENCE AND EXTENSION",NA,,
khm2_0050,Economic Rehabilitation Credit Project,ECONOMIC REHABILITATION CREDIT PROJECT,NA,,
khm2_0051,Family Planning and Reproductive Health,FAMILY PLANNING AND REPRODUCTIVE HEALTH,"Expand access to high-quality voluntary family planning (FP) services and information, and reproductive health (RH) care. This element contributes to reducing unintended pregnancy and promoting healthy reproductive behaviors of men and women, reducing abortion, and reducing maternal and child mortality and morbidity.",,
khm2_0052,Health Sector Support Project,HEALTH SECTOR SUPPORT PROJECT,NA,,
khm2_0053,Higher Education Quality and Capacity Improvement Project,HIGHER EDUCATION QUALITY AND CAPACITY IMPROVEMENT PROJECT,NA,,
khm2_0054,Output 01: SRH Services,SRH SERVICES,Cambodia - Phnom-Penh-Output 01: SRH Services,,
khm2_0055,Output 06: Adolescents and youth,ADOLESCENTS AND YOUTH,"Cambodia - Phnom-Penh - Outcome 2: Increased priority on adolescents, especially on very young adolescent girls, in national development policies and programmes",,
khm2_0056,Output 06: Adolescents and youth,ADOLESCENTS AND YOUTH,Cambodia - Phnom-Penh-Output 06: Adolescents and youth,,
khm2_0057,Support to Agricultural Production and Marketing Project-Western Expansion,SUPPORT TO AGRICULTURAL PRODUCTION AND MARKETING PROJECT-WESTERN EXPANSION,NA,,
