sdg_id,title,short_description,long_description
khm_0605,"ACCES AUX SOINS DE SANTE, NOTAMMENT TRAITEMENT DU SIDA   MSF","ACCES AUX SOINS DE SANTE, NOTAMMENT TRAITEMENT DU SIDA",
khm_2636,"Institut FranÌ¤ais,  CAMBODGE","INSTITUT FRANÌàAIS, CAMBODGE",Actions dans le domaine de la culture (Institut FranÌ¤ais)
khm_1586,Dauntri Dam Development Project,DAUNTRI DAM DEVELOPMENT PROJECT,Construction of reservoir dam to secure stable supply of agricultural water / Reduction of flood damages
khm_1216,Capacity Building for Pro-poor,ECONOMIC AND DEVELOPMENT POLICY/PLANNING,"Enhanced national and local capacities to plan, monitor, report and evaluate the MDGs and related national development priorities, including within resource frameworks"
khm_1803,EC-Cambodia Co-operation Facility (ECCF) for Governance and Human Rights,EC-CAMBODIA CO-OPERATION FACILITY (ECCF) FOR GOVERNANCE AND HUMAN RIGHTS,The overall objective of this proposal is to support initiatives aimed at EC-Cambodia co-operation and dialogue especially in the field of governance and human rights_ including activities stemming from the sub-group on Co-operation in institution buildi
khm_1361,Climate Resilience in Agricult,CLIMATE RESILIENCE IN AGRICULT,(I) Improved capacity within local institutions to manage agricultural water resources in a changing climate; (II) Locally appropriate adaptation options demonstrated to reduce exposure to cl
khm_1927,English Language Capacity Building for Biodiversity Conservation,ENGLISH LANGUAGE CAPACITY BUILDING FOR BIODIVERSITY CONSERVATION,"Multinational Species Conservation Fund, U.S. Department of Interior, U.S. Fish and Wildlife Service."
khm_3810,Scholarship Programme for Students from Developing Countries,SCHOLARSHIP PROGRAMME FOR STUDENTS FROM DEVELOPING COUNTRIES,StipendijnÌ_ program UHK pro studenty z vybranÌ_ch zemÌ_
khm_0520,,WATER QUALITY AND ARSENIC RISK MANAGEMEN,"THE INITIATIVE THROUGH UNICEF AIMS TO PROVIDE ASSISTANCE WITH DRINKING WATER SUPPLY TESTING MAPPING, DEVELOPING CAPACITY IN RELEVANT AUTHORITIES FOR MONITORING AND ASSESSMENT AND PROMOTE COMMUNITY AWARENESS OF WATER QUALITY AND HEALTH ISSUES. $500,000 WILL BE MADE AVAILABLE THROUGH A UNICEF TRUST FUND TO BE EXPENDED OVER A PERIOD OF ONE YEAR."
khm_4631,VIETNAM - Gov/Civil Society incl NGO's - Cambodia Demining / UXO - HALO TRUST DEMINING PROJE,VIETNAM - GOV/CIVIL SOCIETY INCL NGO'S - CAMBODIA DEMINING / UXO - HALO TRUST DEMINING PROJECT,VIETNAM - Gov/Civil Society incl NGO's - Cambodia Demining / UXO - HALO TRUST DEMINING PROJE
khm_0392,Strengthening the Resilience of Cambodian Rural Livelihoods and Sub-national Government System to Climate Risks and Variability,STRENGTHENING THE RESILIENCE OF CAMBODIAN RURAL LIVELIHOODS AND SUB-NATIONAL GOVERNMENT SYSTEM TO CLIMATE RISKS AND VARIABILITY,Strengthening the Resilience of Cambodian Rural Livelihoods and Sub-national Government System to Climate Risks and Variability
khm_1543,CREATION JARDIN PLANTES,ENVIRONMENTAL RESEARCH,Savoirs mÌ©dicaux traditionnels et crÌ©ation d un jardin de plantes mÌ©dicinales
khm_1388,Commodity Cost of Food Aid under Food For Education Program,COMMODITY COST OF FOOD AID UNDER FOOD FOR EDUCATION PROGRAM,"Food Aid (Food For Education) Commodity Cost for Beans, Small Red [50 metric tons] - through International Relief and Development"
khm_3125,ND,HUMAN RIGHTS,"Objetivo General: Proteger a los niÌ±os de la explotaciÌ_n sexual en Camboya. Objetivo EspecÌ_fico: Reducir la incidencia de pederastia en las calles. Beneficiarios directos: NiÌ±os y niÌ±as que han sido vÌ_ctimas de explotaciÌ_n sexual en las calles o corren el riesgo de serlo (menores de 15 aÌ±os, que es la edad legal mÌ_nima para las relaciones sexuales). La mayorÌ_a de beneficiarios habrÌÁn sido explotados sexualmente a cambio de dinero u otras formas de ayuda. Los menores suelen dar este dinero o bienes a sus familias, o bien lo emplean para pagar comida, refugio, drogas u otras necesidades. En muchos casos, miembros de la familia del niÌ±o vÌ_ctima de abuso estaban directamente implicados en el trÌÁfico de ese menor con fines sexuales. Beneficiarios indirectos: Las familias de los niÌ±os vÌ_ctimas de pederastia o en riesgo de serlo. Las familias en general cuentan con poco o ningÌ¼n recurso econÌ_mico, tienen bajo nivel educativo y en gran medida no son conscientes de los efectos perjudiciales de la prostituciÌ_n, el trÌÁfico y otras formas de explotaciÌ_n. Muchas personas no saben quÌ© considerar abuso y quÌ© no. Las familias y por extensiÌ_n sus comunidades, se beneficiarÌÁn de las acciones de sensibilizaciÌ_n sobre explotaciÌ_n sexual infantil en las calles, en las que se informarÌÁn sobre los derechos y acceso a servicios legales, asÌ_ como los mecanismos de detecciÌ_n y denuncia de los casos de explotaciÌ_n que PROYECT establecerÌÁ. Fuerzas de seguridad y cuerpos judiciales de Camboya: continuarÌÁn recibiendo asesoramiento y apoyo para hacer cumplir las leyes y proteger a los niÌ±os Camboyanos de la explotaciÌ_n sexual. 30 oficiales ONGs y redes locales e internacionales que trabajan con niÌ±os: se beneficiarÌÁn de mayor comprensiÌ_n de los derechos legales y de alternativas para hacer que se respeten esos derechos: 40 personas. Fuerzas de seguridad internacionales y oficiales de embajadas y cuerpos consulares: continuarÌÁn recibiendo asesoramiento legal, apoyo sobre tÌÁcticas de experiencia y conocimientos del contexto local. 15 personas. ACTIVIDADES PREVISTAS DURANTE TODO EL AÌÔO: 1.InvestigaciÌ_n y denuncia de extranjeros sospechosos de pederastia (hay 2 investigadores asignados a cada caso de manera continua) 2.TransmisiÌ_n de la informaciÌ_n relevante a las autoridades correspondientes. (se trabaja coordinadamente con la Unidad de ProtecciÌ_n Juvenil y contra el TrÌÁfico Humano de la policÌ_a de Camboya) 3.CoordinaciÌ_n con ONGs e instituciones locales e internacionales. Distintas organizaciones que trabajan con menores informan al equipo de Protect cuando detectan comportamiento sospechoso en extranjeros. 4.Establecimiento de contactos con grupos e individuos que puedan colaborar en las investigaciones. 5.Asesoramiento, protecciÌ_n y representaciÌ_n legal a los menores de vÌ_ctimas y sus familias. 6.Asesoramiento y atenciÌ_n social a los menores vÌ_ctimas. 7.Asesoramiento psicolÌ_gico a los niÌ±os vÌ_ctimas y a sus familias para superar las experiencias traumÌÁticas. 8.SensibilizaciÌ_n"
khm_3048,MRC RENFORCEMENT INSTITUTIONNEL  FORMULATION,RENFORCEMENT INSTITUTIONNEL,
khm_2095,FONDS EXPERTISE & RENFORCEMENT CAPACITÌ©S,FONDS EXPERTISE & RENFORCEMENT CAPACITÌäS,FERC 2011
khm_3745,Road Improvement,,"Decades of civil strife have taken a toll on CambodiaÛªs infrastructure, particular the transportation network, a situation that is particularly acute in the impoverished northwest region. Two important national roads that pass through the area are the NR5 and NR6, which connect three major towns: Siem Reap and Sisophon, provincial capitals that provide linkages to the capital Phnom Penh and South Vietnam, and Poipet, a primary border crossing to Thailand. The stretches are presently in very poor condition and become easily flooded, and the associated bridges either need replacing or extensive repairs. The project will address these problems by widening and paving 150 km of the NR5 and NR6 with asphalt. Drainage structures will be installed, embankments raised to counteract flooding, and 45 bridges rehabilitated. Additionally, some 50 bridges along the Sisophon- SamrongÛÒKralanh route (NR56 and NR68), a region with enormous agricultural potential, will be reconstructed. Weigh stations will be built in high traffic areas in an effort to prevent excessive wear and tear. Once completed, the improved roads will help relieve the isolation of remote rural regions, and as the project area has a number of temples and other attractions, the countryÛªs tourism is expected to increase."
khm_3215,PARTNERS NETWORK AND FACILITATION,GOVERNMENT ADMINISTRATION: PARTNERS NETWORK AND FACILITATION,
khm_2689,Intestinal Parasite Control in the central area of Cambodia,INTESTINAL PARASITE CONTROL IN THE CENTRAL AREA OF CAMBODIA,develop preventive tools and education assets for rasing awareness on parasite support health centres with inspection kit and medicins send specialists fro TOT workshop to transplant the technics of managing parasite
khm_1021,Building self-reliant family farm communities in Cambodia,BUILDING SELF-RELIANT FAMILY FARM COMMUNITIES IN CAMBODIA,Building self-reliant family farm communities in Cambodia
khm_2700,IT equipment and devices support to Royal University of Phnom Penh for e,IT EQUIPMENT AND DEVICES SUPPORT TO ROYAL UNIVERSITY OF PHNOM PENH FOR E,Provision of customized IT equipment and devices to Royal University of Phnom Penh
khm_0973,"Best practice health and husbandry of cattle, Cambodia","BEST PRACTICE HEALTH AND HUSBANDRY OF CATTLE, CAMBODIA","Cambodia has around 3.2 million cattle and 0.7 million buffalo. Almost 80% of the land is lowland and still ploughed by draft animals, which are increasingly paired castrated oxen rather than buffalo. New opportunities for livestock sale are opening up as the market for meat grows rapidly in Southeast Asia, especially from neighbouring countries such as Vietnam. This project aims to improve profitability of large ruminant production by smallholders, through adoption of well known disease control and husbandry practises. It has these objectives: to confirm current knowledge of disease limitations to large ruminant production; to implement, test and demonstrate the value of interventions preventing key diseases, preventing introduction of diseases and managing reproduction; to assess attitudes of farmers in targeted communities to health, husbandry and market issues; and to improve knowledge of the cattle supply chain and key drivers for change in the targeted communities."
khm_4283,The Forest Restoration and Establishment of forest Research Facilities i,THE FOREST RESTORATION AND ESTABLISHMENT OF FOREST RESEARCH FACILITIES I,- ???? ???? ? ??? ???? ???? ?? ?? ?? - ????? ???? ????? ??????? ???? ?? ? ???? ???? ??
khm_2121,"Food -Ocean Freight Value of Oil, Vegetable /Metric Tons: 600","FOOD -OCEAN FREIGHT VALUE OF OIL, VEGETABLE /METRIC TONS: 600","Food For Progress Title I Commodity Credit Corporation Purchase - Ocean Freight Value of Oil, Vegetable (by 20 L)/Metric Tons: 600 [through Salesain Missions]"
khm_3492,Promoting and protecting human rights in distant rural areas in Cambodia,PROMOTING AND PROTECTING HUMAN RIGHTS IN DISTANT RURAL AREAS IN CAMBODIA,Promoting and protecting human rights in distant rural areas in Cambodia
khm_4692,WFP PRRO 10305.0  - Cambodia 2007,WFP PRRO 10305.0 - CAMBODIA 2007,"Project Description: WFP PRRO 10305.0 - Cambodia 2007 This project will contribute up to $31.5 million to WFP's PRRO 10305.0. The total value of the appeal is US $47M. It is expected to provide food aid to 1.3 million . Objectives are to decrease calss repetition and increase enrolment retention rates and reduce short-term hunger in primary education, achieve higher rates of functional literary, provide food supplements to people living with AIDS/HIV and TB patients to enable their participation in care and treatment, and reduce vulnerability towards natural disasters, promote sustainable livelihoods, and restore or develop community assetsExpected Impact: greater integraton at the community level and mainstreaming of cross-cutting themes such as gender and HIB/AIDs awareness; continued emphasis on local-level planning os WFP-supported activites, in conformity with commune development plans; enanced government participation in coordinating, p[lanning and implementing activities; and strategic partnerships in developmentExpected Outcomes: improved food security of peple in crisis through food-aid internventions targeted to the hungry poor, addressing basic food-security needs through sector specialization and geographic targeting from relief through recovery and rehatiliation to development.Expected Outputs: his project will contribute up to $300,000 to WFP's PRRO 10305.0. The total value of the appeal is US $47M. It is expected to provide food aid to 1.3 million . Objectives are to decrease calss repetition and increase enrolment retention rates and reduce short-term hunger in primary education, achieve higher rates of functional literary, provide food supplements to people living with AIDS/HIV and TB patients to enable their participation in care and treatment, and reduce vulnerability towards natural disasters, promote sustainable livelihoods, and restore or develop community assetsCountries: Cambodia (100%) Sectors: 072040 (100%)"
khm_2578,Improving health education and reproductive health services in Kampong Chhnang Province,IMPROVING HEALTH EDUCATION AND REPRODUCTIVE HEALTH SERVICES IN KAMPONG CHHNANG PROVINCE,"The project aims to improve the health of the population of the province of Kampong Chhnang, supporting the provincial health system by improving basic services for reproductive health"
khm_0289,Maternal and Child Health,MATERNAL AND CHILD HEALTH,"Increase the availability and use of proven life-saving interventions that address the major killers of mothers and children and improve their health and nutrition status, including effective maternity care and management of obstetric complications; prevention services including newborn care, routine immunization, polio eradication, safe water and hygiene, and micronutrients; improved maternal, infant and young child feeding; and treatment of life-threatening childhood illnesses. [Government of Cambodia]"
khm_2455,Humanitarian demining in Cambodia,HUMANITARIAN DEMINING IN CAMBODIA,Demining in order to provide land for resettlement of refugees and improvement of economic development
khm_3320,Preparatory Assistance for CMD,PREPARATORY ASSISTANCE FOR CMD,
khm_0934,B7-7090/2001/3173 ELECTIONS CAMBODIA,ELECTIONS CAMBODIA,B7-7090/2001/3173 ELECTIONS CAMBODIA
khm_2080,FOERDERUNG DER RECHTE DER FRAUEN,LEGAL AND JUDICIAL DEVELOPMENT,
khm_1312,CHILDREN WITH DISABILITIES,CHILDREN WITH DISABILITIES,"TO PROMOTE CHILDREN WITH DISABILITIES TO REHABILITATION, HEALTH AND EDUCATION SERVICES, PROMOTE PARENTAL ROLE AND SUPPORT FROM SOCIAL WELFARE SECTOR.AGR.PARTNER: REDD BARNAIMPL.INST: OPERATION ENFANTS DE BATTAMBANG"
khm_4539,Transition from CRDAP to DFGG,TRANSITION FROM CRDAP TO DFGG,
khm_4428,The project for Strengthening Siem Reap Provincial Hospital Services,THE PROJECT FOR STRENGTHENING SIEM REAP PROVINCIAL HOSPITAL SERVICES,Construction of hospital; Provision of medical equipment and training program
khm_2101,"Food -Commod Value of Oil, Soybean (by 20 ltr)/Metric Tons: 20","FOOD -COMMOD VALUE OF OIL, SOYBEAN (BY 20 LTR)/METRIC TONS: 20","Food For Progress Title I Commodity Credit Corporation Purchase - Commodity Value of Oil, Soybean (by 20 ltr)/Metric Tons: 20 [through Salesain Missions]"
khm_1594,DDH/2003/ 053-925-EC EXPLORATORY MISSION TO CAMBODIA,EC EXPLORATORY MISSION TO CAMBODIA,
khm_4470,Third Financial Sector Program - Subprogram 1,THIRD FINANCIAL SECTOR PROGRAM - SUBPROGRAM 1,Product type: NEW ADF. . AsDB internal sector description: Finance Sector Development.
khm_4149,SUPPORT TO CMVIS,SUPPORT TO CAMBODIA MINE VICTIM INFORMATION SYSTEM,"The overall goal of the project is to contribute to the protection of mine and UXO affected communities, the prevention of mine and UXO accidents and the provision of support to mine accident survivors. The specific objective of the project relates to the"
khm_3219,Partnership for Buidling Toget,WOMEN'S EQUALITY ORGANISATIONS AND INSTITUTIONS,"Strengthened national, regional and local level capacity to mainstream gender equality and womenåÕs empowerment in government policies and institutions"
khm_4455,The Project to provide the refurbished wheelchairs for handicapped children to 11 Regional Medical & Physical Rehabilitation centers.,THE PROJECT TO PROVIDE THE REFURBISHED WHEELCHAIRS FOR HANDICAPPED CHILDREN TO 11 REGIONAL MEDICAL & PHYSICAL REHABILITATION CENTERS.,Provides the refurbished wheelchairs for handicapped children to 11 regional medical and physical rehabilitation centers.
khm_0829,Asian Elephant Conserv-Species Conservation Grant,ASIAN ELEPHANT CONSERV-SPECIES CONSERVATION GRANT,Cambodian Elephant Conservation Group: Understanding and reducing threats to Cambodia's elephant population
khm_1020,"Building of a studying room, fences and space. Wheelchairs, La Palamo center.","BUILDING OF A STUDYING ROOM, FENCES AND SPACE. WHEELCHAIRS, LA PALAMO CENTER.","ConstrucciÌ_n de dos aulas, una sala de estudios y otra para actividades diversas, vallado del recinto y acondicionamiento de un espacio para estacionar las sillas de ruedas., se trata de la construcciÌ_n de un edificio de una Ì¼nica altura de 7 m por 20 de alto, una de las aulas serÌÁ destinada a estudio y se equiparÌÁ con el consiguiente mobiliarios y el otro serÌ_a para trabajar con artesanÌ_as o realizar actividades de baile camboyano, proyecciÌ_n de videos, etc. y el espacio para aparcar las sillas que utilizan para desplazarse."
khm_0797,Appui aux projets en Asie,SUPPORT TO NATIONAL NGO'S,Appui aux projets en Asie
khm_0139,Assistance for HIV/AIDS,ASSISTANCE FOR HIV/AIDS,To contribute to improvements in the health of people especially women children and other vulnerable populations in countries of the developing world through expansion of basic health services including family planning; strengthening national health systems and addressing global issues and special concerns such as HIV/AIDS and other infectious diseases. [Government of Cambodia]
khm_2975,Mine Action,MINE ACTION,"1. Total funding for Cambodia HES Devolved funds for the 2006-07 Financial Year is $5,500,000. This proposal seeks approval of $3.24 million of this amount. In accordance with HES expenditure guidelines, only 50% of the total HES funding will be committed before January 2007. In the event that HES funding is no longer available during the financial year, activities will be supported from the Cambodia Bilateral program. This proposal also includes $60,000 Reg 9 approved for initial landmine victim assistance program development in July 2006. 2. Funding is in accordance with the Cambodia Development Cooperation Strategy 2003-2006 and the Humanitarian Action Policy. It is proposed that 2006-07 expenditure maintain a large component of support for Mine Action, assisting the fulfilment of Australia's Mine Action Strategy and 5-year, $75 million pledge to Mine Action. Activities include: - Landmine Victim Assistance Fund - $1,200,000 - The LVAF has supported NGOs providing a range of physical, social and economic rehabilitation services for landmine victims in 2004 and 2005. Key strengths of the program have included the strong benefits and diversity of services for landmine victims supported by NGOs, and a strong profile for the Australian aid program. The proposal seeks the design and implementation of a program based on an Issues Paper prepared by the Cambodia program in July 2005, recommending the expansion of the program, including increasing access for landmine victims in remote areas; reducing AusAID administrative burden; and improving sustainability by engaging the Cambodian Government. FMA 9 approval of $66,000 (including GST) and a Procurement Strategy, endorsing initial program design by the Australian Red Cross in preparation for their management of the program, were approved by Peter Lindenmayer on 15 July. Mine Action Policy & Research Support - $150,000 - Support to a range of mine action research and policy devt priorities based on"
khm_4300,"The Model Construction of Health Staffs Professional Education and Training for Improve the health of Local Residents, Phnom Penh, Cambodia","THE MODEL CONSTRUCTION OF HEALTH STAFFS PROFESSIONAL EDUCATION AND TRAINING FOR IMPROVE THE HEALTH OF LOCAL RESIDENTS, PHNOM PENH, CAMBODIA",1.Training the Health care professionals about the chronic disease management skills2.Installing a local clinic and services3. Operating the International exchange programs
khm_0896,ASSISTANCE TO CARDI - PREPARATION,ASSISTANCE TO CAMBODIAN AGRICULTURAL RESEARCH AND DEVELOPMENT INSTITUTE,"The objective of this activity is to prepare the ground for future assistance to the Cambodian Agricultural Research and Development Institute (CARDI). There are two strands of assistance. Firstly, the preparation of a corporate and business plan. Thi"
khm_1411,COMMUNE COUNCIL DEV. PROJECT T,COMMUNE COUNCIL DEVELOPMENT,"Commune Council Dev. Project To establish an efficient, comprehensive civil reg. system which will provide ess. documentation required to prove citizenship, place-of-origin, parentage, age, marital status, inheritance, entitlement to land and prop. and to"
khm_1459,Community-based Self-reliant Peace Building,COMMUNITY-BASED SELF-RELIANT PEACE BUILDING,"Friedenserziehung, FortfÌ_hrung"
khm_2196,Frame Agreement with NGO (Finnish Red Cross),DISASTER PREVENTION AND PREPAREDNESS,Integrated Disaster Preparedness
khm_1383,COMMERCIALISATION DU RIZ CAMBODGIEN,COMMERCIALISATION DU RIZ CAMBODGIEN,Appui au secteur rizicole
khm_0857,ASIE/2003/ 004-941-SUPPORT TO THE CAMBODIAN 27 JULY 2003 ELECTION OF THE MEMBERS,ELECTION OF THE MEMBERS,
khm_0509,,REPRODUCTIVE HEALTH CARE,Support to national NGOs
khm_4731,World Bank DFGG Preparations,WORLD BANK DFGG PREPARATIONS,
khm_0099,Tuberculosis,TUBERCULOSIS,"Reduce the number of deaths caused by TB by increasing detection of cases of TB and by successfully treating detected cases, as well as addressing issues of multi-drug resistant TB, TB and HIV, and investing in new tools for TB. [through Government of Cambodia]"
khm_1905,Empowerment of the differently-abled based on Human rights and Self reliance,EMPOWERMENT OF THE DIFFERENTLY-ABLED BASED ON HUMAN RIGHTS AND SELF RELIANCE,"Quality improvement of educational environment, management of graduate social activities"
khm_4717,WOMENS CLINIC,WOMEN'S CLINIC,
khm_2818,LABOUR MARKETS IN THAILAND AND SOUTHEAST ASIA PHASE III,LABOUR MARKETS IN THAILAND,
khm_2075,Flood Protection and Drainage Improvement,FLOOD PROTECTION AND DRAINAGE IMPROVEMENT,
khm_4294,The Integrated rural development project in Kampot Province,THE INTEGRATED RURAL DEVELOPMENT PROJECT IN KAMPOT PROVINCE,The Integrated rural development project in Kampot Province
khm_3023,Missions archÌ©ologiques PED,MISSIONS ARCHÌäOLOGIQUES PED,Missions archÌ©ologiques CAMBODGE
khm_4086,Study tour to the Commerical Court of Thailand for Cambodian,,
khm_1598,DDH/B7-701/2003/3022-ELECTION OBSERVATION MISSION TO PARLIAMENTARY ELECTIONS IN,ELECTION OBSERVATION MISSION TO PARLIAMENTARY ELECTIONS,
khm_3742,Road Asset Management,,
khm_2678,INTEGRATED WOMEN EMPOWERMENT PROJECT (IWEP),INTEGRATED WOMEN EMPOWERMENT PROJECT (IWEP),"FEMALE FARMERS IN THE PROJECT ARE EMPOWERED THROUGH THEIR ORGANISATION AND MANAGEMENT OF COMMUNITY-BASED GROUPS/ORGANISATIONS, ARE HAVING INFLUENCE ON DEVELOPMENT OF THE LOCAL RURAL CIVIL SOCIETY AND INVOLVED IN THEIR OWN LIVELIHOOD."
khm_0590,"ACCambodiaImproved access, quality and use of medical products and technology","AC: CAMBODIAIMPROVED ACCESS, QUALITY AND USE OF MEDICAL PRODUCTS AND TECHNOLOGY",Health policy and administrative management
khm_2846,Landmanagement,LANDMANAGEMENT,A significant number of households with legal entitlement to land resources is in possession of legally secured land titles.
khm_2715,JPO Mari Huseby UNDP,JPO MARI HUSEBY UNDP,"JPO Mari Huseby UNDP. 3rd year assignment UNDP Cambodia Management, Support Unit. Previously allocated, UNDP New York:2007: USD 151 748,312008: USD 111 794,05"
khm_2147,"FOOD FOR PROGRESS TITLE I COMMODITY CREDIT CORPORATION PURCHASE - OCEAN FREIGHT VALUE OF OIL, SOYBEAN (BY 20 LTR)/METRIC TONS: 20 [THROUGH SALESAIN MISSIONS]",FOOD FOR PROGRESS,"FOOD FOR PROGRESS TITLE I COMMODITY CREDIT CORPORATION PURCHASE - OCEAN FREIGHT VALUE OF OIL, SOYBEAN (BY 20 LTR)/METRIC TONS: 20 [THROUGH SALESAIN MISSIONS]"
khm_1036,CAM/91: SantÌ© mentale,SANTÌä MENTALE,CAM/91: SantÌ© mentale
khm_2313,GRANT ASSISTANCE FOR GRASSROOTS 42P,GRANT ASSISTANCE FOR GRASSROOTS,
khm_3016,MIP 2000 RURAL WATER SUPPLY,RURAL WATER SUPPLY,
